expected_intent,ANALYTICAL_QUERY,CHART_REQUEST,CLARIFICATION,DASHBOARD_REQUEST,DATA_OVERVIEW,DATA_QUALITY,DATA_RANGE,REFUSAL,REPORT_REQUEST,SAFE_FAILURE,SAMPLE_ROWS,SCHEMA_INSPECTION
ANALYTICAL_QUERY,68,5,4,1,0,0,0,0,6,2,0,0
CHART_REQUEST,0,4,0,0,0,0,0,0,0,0,0,0
CLARIFICATION,0,0,10,0,0,0,0,0,0,0,0,0
CONVERSATION_FOLLOWUP,8,4,1,0,0,0,0,0,2,1,0,0
DASHBOARD_REQUEST,0,0,0,2,0,0,0,0,0,0,0,0
DATA_OVERVIEW,0,0,0,0,16,0,0,0,0,0,0,0
DATA_QUALITY,0,0,0,0,0,7,0,0,0,0,0,0
DATA_RANGE,0,0,0,0,0,0,2,0,0,0,0,0
EXPORT_REQUEST,0,0,0,0,0,0,0,0,1,0,0,0
REFUSAL,0,0,0,0,0,0,0,11,0,0,0,0
REPORT_REQUEST,0,0,0,0,0,0,0,0,2,0,0,0
SAMPLE_ROWS,0,0,0,0,0,0,0,0,0,0,9,0
SCHEMA_INSPECTION,0,0,1,0,0,0,0,0,0,0,0,13
