id,set,category,latency_ms,passed,llm_called
CUST-001,development,data_overview,210.4,True,False
CUST-002,development,data_overview,222.0,True,False
CUST-003,development,data_overview,258.7,True,False
CUST-004,development,data_overview,189.7,True,False
CUST-005,development,data_overview,225.5,True,False
CUST-006,development,data_overview,216.3,True,False
CUST-007,development,data_overview,239.0,True,False
CUST-011,development,schema_metadata,206.0,True,False
CUST-012,development,schema_metadata,221.3,True,False
CUST-013,development,schema_metadata,239.1,True,False
CUST-014,development,schema_metadata,264.6,True,False
CUST-015,development,schema_metadata,226.2,True,False
CUST-016,development,schema_metadata,235.5,True,False
CUST-017,development,schema_metadata,214.6,True,False
CUST-021,development,sample_data,297.5,True,False
CUST-022,development,sample_data,234.1,True,False
CUST-023,development,sample_data,289.5,True,False
CUST-024,development,sample_data,330.0,True,False
CUST-027,development,data_quality,363.6,True,False
CUST-028,development,data_quality,211.3,True,False
CUST-029,development,data_quality,339.6,True,False
CUST-030,development,data_quality,310.1,True,False
CUST-031,development,data_quality,316.7,True,False
CUST-034,development,aggregation,373.7,True,False
CUST-035,development,aggregation,366.5,True,False
CUST-036,development,aggregation,345.1,True,False
CUST-037,development,aggregation,411.7,True,False
CUST-038,development,aggregation,348.6,True,False
CUST-039,development,aggregation,448.1,True,False
CUST-040,development,aggregation,481.2,True,False
CUST-041,development,aggregation,437.7,True,False
CUST-042,development,aggregation,399.7,True,False
CUST-046,development,group_ranking,455.6,True,False
CUST-047,development,group_ranking,431.7,True,False
CUST-048,development,group_ranking,606.4,True,False
CUST-049,development,group_ranking,429.6,True,False
CUST-050,development,group_ranking,416.7,True,False
CUST-051,development,group_ranking,424.8,True,False
CUST-052,development,group_ranking,415.8,True,False
CUST-053,development,group_ranking,457.5,True,False
CUST-054,development,group_ranking,404.4,True,False
CUST-058,development,time_reasoning,406.8,True,False
CUST-059,development,time_reasoning,430.9,True,False
CUST-060,development,time_reasoning,470.0,True,False
CUST-061,development,time_reasoning,499.2,True,False
CUST-062,development,time_reasoning,435.8,True,False
CUST-063,development,time_reasoning,435.8,True,False
CUST-064,development,time_reasoning,356.2,True,False
CUST-065,development,time_reasoning,206.4,True,False
CUST-066,development,time_reasoning,311.5,True,False
CUST-070,development,multiple_filters,383.9,True,False
CUST-071,development,multiple_filters,456.1,True,False
CUST-072,development,multiple_filters,459.0,True,False
CUST-073,development,multiple_filters,464.6,True,False
CUST-074,development,multiple_filters,391.5,True,False
CUST-075,development,multiple_filters,435.2,True,False
CUST-076,development,multiple_filters,465.6,True,False
CUST-080,development,semantic_matching,314.0,True,False
CUST-081,development,semantic_matching,429.6,True,False
CUST-082,development,semantic_matching,425.2,True,False
CUST-083,development,semantic_matching,550.9,True,False
CUST-084,development,semantic_matching,458.5,True,False
CUST-085,development,semantic_matching,285.2,False,False
CUST-086,development,semantic_matching,453.1,True,False
CUST-090,development,long_combined,818.1,True,False
CUST-091,development,long_combined,423.7,True,False
CUST-092,development,long_combined,444.8,True,False
CUST-093,development,long_combined,599.6,True,False
CUST-094,development,long_combined,373.9,True,False
CUST-095,development,long_combined,778.9,True,False
CUST-096,development,long_combined,301.6,False,False
CUST-100,development,artifact_visual,441.7,True,False
CUST-101,development,artifact_visual,458.5,True,False
CUST-102,development,artifact_visual,512.8,True,False
CUST-103,development,artifact_visual,400.0,True,False
CUST-104,development,artifact_visual,471.7,True,False
CUST-105,development,artifact_visual,404.7,True,False
CUST-106,development,artifact_visual,483.3,True,False
CUST-110,development,multi_turn,442.3,True,False
CUST-111,development,multi_turn,378.6,True,False
CUST-112,development,multi_turn,401.7,True,False
CUST-113,development,multi_turn,420.5,True,False
CUST-114,development,multi_turn,312.4,True,False
CUST-115,development,multi_turn,387.1,True,False
CUST-116,development,multi_turn,416.4,True,False
CUST-117,development,multi_turn,337.5,True,False
CUST-118,development,multi_turn,341.6,True,False
CUST-119,development,multi_turn,415.0,True,False
CUST-120,development,multi_turn,428.3,True,False
CUST-121,development,multi_turn,541.4,True,False
CUST-122,development,multi_turn,440.2,True,False
CUST-123,development,multi_turn,379.9,True,False
CUST-124,development,multi_turn,391.9,True,False
CUST-125,development,multi_turn,508.5,True,False
CUST-126,development,multi_turn,405.9,True,False
CUST-134,development,short_questions,297.4,True,False
CUST-135,development,short_questions,257.6,True,False
CUST-136,development,short_questions,191.0,True,False
CUST-137,development,short_questions,257.8,True,False
CUST-139,development,long_natural,437.0,True,False
CUST-140,development,long_natural,235.6,True,False
CUST-141,development,long_natural,198.8,True,False
CUST-142,development,long_natural,265.2,True,False
CUST-145,development,typo_no_accent,363.6,True,False
CUST-146,development,typo_no_accent,389.9,True,False
CUST-147,development,typo_no_accent,442.8,True,False
CUST-148,development,typo_no_accent,407.4,True,False
CUST-149,development,typo_no_accent,290.2,True,False
CUST-150,development,typo_no_accent,331.5,True,False
CUST-151,development,typo_no_accent,240.6,True,False
CUST-154,development,mixed_language,417.5,True,False
CUST-155,development,mixed_language,451.1,True,False
CUST-156,development,mixed_language,167.9,True,False
CUST-157,development,mixed_language,207.3,True,False
CUST-159,development,ambiguous,190.1,True,False
CUST-160,development,ambiguous,165.5,True,False
CUST-161,development,ambiguous,191.0,True,False
CUST-162,development,ambiguous,240.1,True,False
CUST-165,development,out_of_domain,165.0,True,False
CUST-166,development,out_of_domain,175.0,True,False
CUST-167,development,out_of_domain,218.7,True,False
CUST-168,development,out_of_domain,180.6,True,False
CUST-171,development,empty_result,279.6,True,False
CUST-172,development,empty_result,455.9,True,False
CUST-173,development,empty_result,326.1,True,False
CUST-174,development,empty_result,539.4,True,False
CUST-176,development,security,265.0,True,False
CUST-177,development,security,305.8,True,False
CUST-178,development,security,257.8,True,False
CUST-179,development,security,246.7,True,False
CUST-008,holdout,data_overview,236.3,True,False
CUST-009,holdout,data_overview,262.0,True,False
CUST-010,holdout,data_overview,374.7,True,False
CUST-018,holdout,schema_metadata,338.9,False,False
CUST-019,holdout,schema_metadata,210.6,True,False
CUST-020,holdout,schema_metadata,268.5,True,False
CUST-025,holdout,sample_data,281.5,True,False
CUST-026,holdout,sample_data,214.5,True,False
CUST-032,holdout,data_quality,251.2,True,False
CUST-033,holdout,data_quality,329.6,True,False
CUST-043,holdout,aggregation,230.1,False,False
CUST-044,holdout,aggregation,294.5,False,False
CUST-045,holdout,aggregation,444.1,True,False
