id,category,latency_ms,actual_intent,passed
ROW-001,record_number,196.3,RECORD_LOOKUP,True
ROW-002,record_number,187.2,RECORD_LOOKUP,True
ROW-003,record_number,215.8,RECORD_LOOKUP,True
ROW-004,record_number,194.9,RECORD_LOOKUP,True
ROW-005,record_number,182.3,RECORD_LOOKUP,True
ROW-006,record_number,207.5,RECORD_LOOKUP,True
ROW-007,record_number,182.7,RECORD_LOOKUP,True
ROW-008,record_number,190.6,RECORD_LOOKUP,True
ROW-009,record_number,191.0,RECORD_RANGE,True
ROW-010,record_number,198.6,RECORD_LOOKUP,True
ROW-011,record_number,223.9,RECORD_LOOKUP,True
ROW-012,record_number,207.3,RECORD_LOOKUP,True
ROW-013,source_row,207.2,RECORD_LOOKUP,True
ROW-014,source_row,199.0,FIRST_RECORD,True
ROW-015,source_row,206.5,RECORD_LOOKUP,True
ROW-016,source_row,262.7,RECORD_LOOKUP,True
ROW-017,source_row,210.0,RECORD_LOOKUP,True
ROW-018,source_row,253.6,RECORD_LOOKUP,True
ROW-019,source_row,194.2,RECORD_LOOKUP,True
ROW-020,source_row,206.6,RECORD_LOOKUP,True
ROW-021,source_row,232.1,RECORD_LOOKUP,True
ROW-022,machine_date,215.6,TIME_WINDOW_RECORDS,True
ROW-023,machine_date,277.9,TIME_WINDOW_RECORDS,True
ROW-024,machine_date,235.6,TIME_WINDOW_RECORDS,True
ROW-025,machine_date,479.8,TIME_WINDOW_RECORDS,True
ROW-026,machine_date,342.1,TIME_WINDOW_RECORDS,True
ROW-027,machine_date,223.4,TIME_WINDOW_RECORDS,True
ROW-028,machine_date,264.1,TIME_WINDOW_RECORDS,True
ROW-029,machine_date,237.4,TIME_WINDOW_RECORDS,True
ROW-030,machine_date,239.5,TIME_WINDOW_RECORDS,True
ROW-031,machine_date,243.9,TIME_WINDOW_RECORDS,True
ROW-032,machine_date,348.7,TIME_WINDOW_RECORDS,True
ROW-033,machine_date,408.2,TIME_WINDOW_RECORDS,True
ROW-034,machine_date,220.9,TIME_WINDOW_RECORDS,True
ROW-035,machine_date,203.0,TIME_WINDOW_RECORDS,True
ROW-036,machine_date,235.2,TIME_WINDOW_RECORDS,True
ROW-037,time_window,198.4,TIME_WINDOW_RECORDS,True
ROW-038,time_window,260.6,TIME_WINDOW_RECORDS,True
ROW-039,time_window,260.3,TIME_WINDOW_RECORDS,True
ROW-040,time_window,206.7,TIME_WINDOW_RECORDS,True
ROW-041,time_window,206.3,TIME_WINDOW_RECORDS,True
ROW-042,time_window,198.1,TIME_WINDOW_RECORDS,True
ROW-043,time_window,215.2,TIME_WINDOW_RECORDS,True
ROW-044,time_window,222.0,TIME_WINDOW_RECORDS,True
ROW-045,time_window,214.8,TIME_WINDOW_RECORDS,True
ROW-046,time_window,219.5,TIME_WINDOW_RECORDS,True
ROW-047,time_window,249.9,TIME_WINDOW_RECORDS,True
ROW-048,time_window,214.8,TIME_WINDOW_RECORDS,True
ROW-049,first_latest,298.5,LAST_RECORD,True
ROW-050,first_latest,202.8,LAST_RECORD,True
ROW-051,first_latest,214.6,LAST_RECORD,True
ROW-052,first_latest,222.8,LAST_RECORD,True
ROW-053,first_latest,209.8,LAST_RECORD,True
ROW-054,first_latest,197.9,LAST_RECORD,True
ROW-055,first_latest,219.5,LAST_RECORD,True
ROW-056,first_latest,206.2,LAST_RECORD,True
ROW-057,first_latest,234.8,LAST_RECORD,True
ROW-058,first_latest,236.2,LAST_RECORD,True
ROW-059,cross_midnight,273.3,TIME_WINDOW_RECORDS,True
ROW-060,cross_midnight,224.2,TIME_WINDOW_RECORDS,True
ROW-061,cross_midnight,207.9,TIME_WINDOW_RECORDS,True
ROW-062,cross_midnight,243.3,TIME_WINDOW_RECORDS,True
ROW-063,cross_midnight,256.2,TIME_WINDOW_RECORDS,True
ROW-064,cross_midnight,222.5,TIME_WINDOW_RECORDS,True
ROW-065,cross_midnight,242.2,TIME_WINDOW_RECORDS,True
ROW-066,cross_midnight,228.3,TIME_WINDOW_RECORDS,True
ROW-067,data_quality,199.7,DATA_QUALITY,True
ROW-068,data_quality,189.8,DATA_QUALITY,True
ROW-069,data_quality,240.8,DATA_QUALITY,True
ROW-070,data_quality,221.6,DATA_QUALITY,True
ROW-071,data_quality,196.9,DATA_QUALITY,True
ROW-072,data_quality,273.7,DATA_QUALITY,True
ROW-073,data_quality,284.3,DATA_QUALITY,True
ROW-074,data_quality,251.9,DATA_QUALITY,True
ROW-075,data_quality,221.9,DATA_QUALITY,True
ROW-076,data_quality,189.4,DATA_QUALITY,True
ROW-077,operating_time,197.9,OPERATING_TIME_CLARIFICATION,True
ROW-078,operating_time,188.0,OPERATING_TIME_CLARIFICATION,True
ROW-079,operating_time,197.8,OPERATING_TIME_CLARIFICATION,True
ROW-080,operating_time,235.2,OPERATING_TIME_CLARIFICATION,True
ROW-081,operating_time,226.1,OPERATING_TIME_CLARIFICATION,True
